subid,gender,trial,pool,rate_s,rate_o,choice_raw,outcome_s,outcome_o,conds,party,frame,choice
1111,1,1,90,3,1,22,69,67,3,2,1,23
1111,1,2,200,1,1,98,100,100,3,2,1,99
1111,1,3,40,3,1,7,30,30,3,2,1,8
1111,1,4,120,1,1,57,60,60,3,2,1,58
1111,1,5,150,2,1,55,102,99,3,2,1,56
1111,1,6,80,1,3,59,58,66,3,2,1,60
1111,1,7,150,1,2,98,100,100,3,2,1,99
1111,1,8,40,1,3,31,30,30,3,2,1,32
1111,1,9,75,2,1,25,50,50,3,2,1,26
1111,1,10,80,3,1,18,60,60,3,2,1,19
1111,1,11,60,1,2,41,30,60,3,2,1,42
1111,1,12,90,1,3,67,68,66,3,2,1,68
1111,1,14,100,1,3,74,76,72,3,2,1,75
1111,1,15,75,1,2,50,60,30,3,2,1,51
1111,1,16,100,3,1,24,75,75,3,2,1,25
1111,1,17,60,2,1,18,40,40,3,2,1,19
1111,1,18,100,1,1,52,50,50,3,2,1,53
1111,1,19,120,2,1,43,80,80,3,2,1,44
1111,1,20,60,1,1,30,31,29,3,2,1,31
1112,1,1,90,-3,-1,6,3,89,2,1,2,7
1112,1,2,200,-1,-1,3,3,197,2,1,2,4
1112,1,3,40,-3,-1,4,6,38,2,1,2,5
1112,1,4,120,-1,-1,2,5,115,2,1,2,3
1112,1,5,150,-2,-1,1,6,147,2,1,2,2
1112,1,6,80,-1,-3,1,3,231,2,1,2,2
1112,1,7,150,-1,-2,4,6,288,2,1,2,5
1112,1,8,40,-1,-3,3,3,111,2,1,2,4
1112,1,9,75,-2,-1,4,6,72,2,1,2,5
1112,1,10,80,-3,-1,3,3,79,2,1,2,4
1112,1,11,60,-1,-2,0,2,116,2,1,2,1
1112,1,12,90,-1,-3,3,2,264,2,1,2,4
1112,1,13,120,-1,-2,0,2,236,2,1,2,1
1112,1,14,100,-1,-3,0,2,294,2,1,2,1
1112,1,15,75,-1,-2,0,2,146,2,1,2,1
1112,1,16,100,-3,-1,0,3,99,2,1,2,1
1112,1,17,60,-2,-1,4,2,59,2,1,2,5
1112,1,18,100,-1,-1,13,2,98,2,1,2,14
1112,1,19,120,-2,-1,0,4,118,2,1,2,1
1112,1,20,60,-1,-1,10,1,59,2,1,2,11
1112,1,1,80,1,3,57,68,36,1,1,1,58
1112,1,2,60,1,2,54,44,32,1,1,1,55
1112,1,3,200,1,1,104,166,34,1,1,1,105
1112,1,4,60,2,1,41,68,26,1,1,1,42
1112,1,5,120,1,1,74,80,40,1,1,1,75
1112,1,6,90,1,3,77,66,72,1,1,1,78
1112,1,7,60,1,1,43,52,8,1,1,1,44
1112,1,8,150,1,2,109,120,60,1,1,1,110
1112,1,9,80,3,1,57,162,26,1,1,1,58
1112,1,10,75,1,2,56,65,20,1,1,1,57
1112,1,11,100,3,1,93,210,30,1,1,1,94
1112,1,12,120,2,1,82,160,40,1,1,1,83
1112,1,13,100,1,3,86,80,60,1,1,1,87
1112,1,14,150,2,1,97,208,46,1,1,1,98
1112,1,15,40,1,3,33,30,30,1,1,1,34
1112,1,16,75,2,1,73,120,15,1,1,1,74
1112,1,17,40,3,1,18,81,13,1,1,1,19
1112,1,18,120,1,2,100,100,40,1,1,1,101
1112,1,19,90,3,1,73,210,20,1,1,1,74
1112,1,20,100,1,1,59,68,32,1,1,1,60
1112,1,1,60,-1,-2,0,16,88,4,2,2,1
1112,1,2,75,-2,-1,8,16,67,4,2,2,9
1112,1,3,120,-1,-1,8,20,100,4,2,2,9
1112,1,4,100,-1,-3,2,25,225,4,2,2,3
1112,1,5,60,-1,-1,26,8,52,4,2,2,27
1112,1,6,120,-1,-2,5,28,184,4,2,2,6
1112,1,7,80,-1,-3,43,18,186,4,2,2,44
1112,1,8,90,-3,-1,1,24,82,4,2,2,2
1112,1,9,40,-1,-3,27,9,93,4,2,2,28
1112,1,10,100,-1,-1,11,16,84,4,2,2,12
1112,1,11,60,-2,-1,15,8,56,4,2,2,16
1112,1,12,150,-1,-2,9,16,268,4,2,2,10
1112,1,13,40,-3,-1,3,12,36,4,2,2,4
1112,1,14,120,-2,-1,0,8,116,4,2,2,1
1112,1,15,100,-3,-1,11,27,91,4,2,2,12
1112,1,16,75,-1,-2,14,10,130,4,2,2,15
1112,1,17,200,-1,-1,3,14,186,4,2,2,4
1112,1,18,90,-1,-3,2,14,228,4,2,2,3
1112,1,19,150,-2,-1,3,20,140,4,2,2,4
1112,1,20,80,-3,-1,5,18,74,4,2,2,6
1112,1,1,120,2,1,82,120,60,3,2,1,83
1112,1,2,100,1,3,78,80,60,3,2,1,79
1112,1,3,200,1,1,128,125,75,3,2,1,129
1112,1,4,90,3,1,43,135,45,3,2,1,44
1112,1,5,150,1,2,106,100,100,3,2,1,107
1112,1,6,75,2,1,30,76,37,3,2,1,31
1112,1,7,90,1,3,71,61,87,3,2,1,72
1112,1,8,120,1,2,92,91,58,3,2,1,93
1112,1,9,100,3,1,48,150,50,3,2,1,49
1112,1,10,75,1,2,53,55,40,3,2,1,54
1112,1,11,60,2,1,22,60,30,3,2,1,23
1112,1,12,80,3,1,58,126,38,3,2,1,59
1112,1,13,150,2,1,98,174,63,3,2,1,99
1112,1,14,60,1,2,34,42,36,3,2,1,35
1112,1,15,100,1,1,60,70,30,3,2,1,61
1112,1,16,40,1,3,28,30,30,3,2,1,29
1112,1,17,120,1,1,91,76,44,3,2,1,92
1112,1,18,80,1,3,66,60,60,3,2,1,67
1112,1,19,40,3,1,14,81,13,3,2,1,15
1112,1,20,60,1,1,57,40,20,3,2,1,58
1113,1,1,150,-2,-1,31,100,100,2,1,2,32
1113,1,2,40,-3,-1,7,30,30,2,1,2,8
1113,1,3,60,-1,-1,27,30,30,2,1,2,28
1113,1,4,150,-1,-2,65,100,100,2,1,2,66
1113,1,7,100,-1,-3,68,50,150,2,1,2,69
1113,1,8,120,-1,-2,79,60,120,2,1,2,80
1113,1,9,40,-1,-3,27,20,60,2,1,2,28
1113,1,10,60,-2,-1,20,40,40,2,1,2,21
1113,1,11,120,-1,-1,36,60,60,2,1,2,37
1113,1,12,100,-3,-1,17,60,80,2,1,2,18
1113,1,13,80,-1,-3,54,40,120,2,1,2,55
1113,1,14,100,-1,-1,50,50,50,2,1,2,51
1113,1,15,60,-1,-2,31,30,60,2,1,2,32
1113,1,16,120,-2,-1,34,70,85,2,1,2,35
1113,1,17,200,-1,-1,85,100,100,2,1,2,86
1113,1,18,90,-3,-1,20,63,69,2,1,2,21
1113,1,19,75,-1,-2,47,37,76,2,1,2,48
1113,1,20,80,-3,-1,11,48,64,2,1,2,12
1113,1,3,120,1,2,80,80,80,1,1,1,81
1113,1,4,40,3,1,10,30,30,1,1,1,11
1113,1,5,100,1,3,75,75,75,1,1,1,76
1113,1,6,90,3,1,23,69,67,1,1,1,24
1113,1,7,150,2,1,50,100,100,1,1,1,51
1113,1,8,75,1,2,50,50,50,1,1,1,51
1113,1,9,120,2,1,40,80,80,1,1,1,41
1113,1,10,80,3,1,20,60,60,1,1,1,21
1113,1,11,150,1,2,100,100,100,1,1,1,101
1113,1,12,120,1,1,60,60,60,1,1,1,61
1113,1,13,40,1,3,30,30,30,1,1,1,31
1113,1,14,200,1,1,103,100,100,1,1,1,104
1113,1,15,100,3,1,25,78,74,1,1,1,26
1113,1,16,60,1,1,32,30,30,1,1,1,33
1113,1,17,75,2,1,26,50,50,1,1,1,27
1113,1,18,100,1,1,50,50,50,1,1,1,51
1113,1,19,80,1,3,59,60,60,1,1,1,60
1113,1,20,60,1,2,40,40,40,1,1,1,41
1113,1,3,120,-1,-1,41,39,81,4,2,2,42
1113,1,5,60,-1,-1,11,30,30,4,2,2,12
1113,1,6,120,-1,-2,78,60,120,4,2,2,79
1113,1,7,80,-1,-3,59,53,81,4,2,2,60
1113,1,8,90,-3,-1,20,63,69,4,2,2,21
1113,1,9,40,-1,-3,29,26,42,4,2,2,30
1113,1,10,100,-1,-1,12,50,50,4,2,2,13
1113,1,11,60,-2,-1,1,30,45,4,2,2,2
1113,1,12,150,-1,-2,93,86,128,4,2,2,94
1113,1,13,40,-3,-1,0,18,34,4,2,2,1
1113,1,15,100,-3,-1,12,60,80,4,2,2,13
1113,1,16,75,-1,-2,49,45,60,4,2,2,50
1113,1,17,200,-1,-1,97,100,100,4,2,2,98
1113,1,18,90,-1,-3,69,60,90,4,2,2,70
1113,1,19,150,-2,-1,48,80,110,4,2,2,49
1113,1,2,100,1,3,77,75,75,3,2,1,78
1113,1,3,200,1,1,101,100,100,3,2,1,102
1113,1,5,150,1,2,99,100,100,3,2,1,100
1113,1,7,90,1,3,69,70,60,3,2,1,70
1113,1,10,75,1,2,50,57,36,3,2,1,51
1113,1,11,60,2,1,24,100,10,3,2,1,25
1113,1,14,60,1,2,41,40,40,3,2,1,42
1113,1,15,100,1,1,52,50,50,3,2,1,53
1113,1,16,40,1,3,30,30,30,3,2,1,31
1113,1,17,120,1,1,60,60,60,3,2,1,61
1113,1,18,80,1,3,60,60,60,3,2,1,61
1113,1,19,40,3,1,10,30,30,3,2,1,11
1113,1,20,60,1,1,35,30,30,3,2,1,36
1114,1,1,60,-1,-1,24,30,30,2,1,2,25
1114,1,2,80,-1,-3,76,80,0,2,1,2,77
1114,1,4,100,-1,-3,100,100,0,2,1,2,101
1114,1,5,120,-1,-1,78,60,60,2,1,2,79
1114,1,8,90,-1,-3,90,90,0,2,1,2,91
1114,1,9,120,-1,-2,112,120,0,2,1,2,113
1114,1,10,100,-1,-1,90,50,50,2,1,2,91
1114,1,13,60,-1,-2,59,60,0,2,1,2,60
1114,1,16,150,-1,-2,146,150,0,2,1,2,147
1114,1,17,40,-1,-3,38,40,0,2,1,2,39
1114,1,18,60,-2,-1,3,2,59,2,1,2,4
1114,1,19,75,-1,-2,75,75,0,2,1,2,76
1114,1,20,200,-1,-1,105,100,100,2,1,2,106
1114,1,3,120,2,1,118,240,0,1,1,1,119
1114,1,4,90,3,1,90,270,0,1,1,1,91
1114,1,5,150,2,1,149,300,0,1,1,1,150
1114,1,6,40,3,1,40,120,0,1,1,1,41
1114,1,9,100,3,1,98,300,0,1,1,1,99
1114,1,10,200,1,1,148,100,100,1,1,1,149
1114,1,12,80,3,1,80,237,1,1,1,1,81
1114,1,13,75,2,1,73,140,5,1,1,1,74
1114,1,14,120,1,1,95,104,16,1,1,1,96
1114,1,15,60,2,1,49,114,3,1,1,1,50
1114,1,16,120,1,2,6,26,188,1,1,1,7
1114,1,17,80,1,3,0,2,234,1,1,1,1
1114,1,18,100,1,1,84,94,6,1,1,1,85
1114,1,19,75,1,2,9,6,138,1,1,1,10
1114,1,20,60,1,1,41,57,3,1,1,1,42
1114,1,2,100,-1,-1,18,4,96,4,2,2,19
1114,1,3,150,-1,-2,149,147,6,4,2,2,150
1114,1,4,100,-1,-3,99,97,9,4,2,2,100
1114,1,5,120,-1,-2,116,118,4,4,2,2,117
1114,1,6,40,-1,-3,36,39,3,4,2,2,37
1114,1,7,100,-3,-1,0,9,97,4,2,2,1
1114,1,8,120,-2,-1,1,4,118,4,2,2,2
1114,1,9,75,-1,-2,75,73,4,4,2,2,76
1114,1,10,90,-1,-3,90,87,9,4,2,2,91
1114,1,11,200,-1,-1,4,7,193,4,2,2,5
1114,1,12,40,-3,-1,0,9,37,4,2,2,1
1114,1,13,120,-1,-1,87,5,115,4,2,2,88
1114,1,14,75,-2,-1,1,4,73,4,2,2,2
1114,1,15,60,-1,-1,15,2,58,4,2,2,16
1114,1,16,90,-3,-1,0,9,87,4,2,2,1
1114,1,17,60,-1,-2,59,58,4,4,2,2,60
1114,1,18,150,-2,-1,0,6,147,4,2,2,1
1114,1,19,80,-1,-3,80,77,9,4,2,2,81
1114,1,20,60,-2,-1,1,2,59,4,2,2,2
1114,1,1,120,1,1,109,116,4,3,2,1,110
1114,1,2,60,2,1,58,116,2,3,2,1,59
1114,1,3,100,3,1,99,297,1,3,2,1,100
1114,1,4,120,2,1,119,236,2,3,2,1,120
1114,1,5,100,1,3,1,3,291,3,2,1,2
1114,1,6,150,2,1,149,294,3,3,2,1,150
1114,1,7,75,1,2,0,1,148,3,2,1,1
1114,1,8,60,1,1,44,58,2,3,2,1,45
1114,1,9,80,1,3,1,5,225,3,2,1,2
1114,1,10,120,1,2,9,4,232,3,2,1,10
1114,1,11,75,2,1,75,148,1,3,2,1,76
1114,1,12,40,3,1,39,114,2,3,2,1,40
1114,1,13,90,1,3,0,5,255,3,2,1,1
1114,1,14,60,1,2,3,3,114,3,2,1,4
1114,1,15,40,1,3,0,5,105,3,2,1,1
1114,1,16,200,1,1,198,196,4,3,2,1,199
1114,1,17,80,3,1,80,234,2,3,2,1,81
1114,1,18,100,1,1,99,97,3,3,2,1,100
1114,1,19,90,3,1,87,258,4,3,2,1,88
1114,1,20,150,1,2,2,10,280,3,2,1,3
1115,1,1,60,-2,-1,39,64,28,2,1,2,40
1115,1,2,90,-1,-3,68,47,129,2,1,2,69
1115,1,3,120,-1,-2,77,71,98,2,1,2,78
1115,1,4,40,-3,-1,10,66,18,2,1,2,11
1115,1,5,100,-1,-3,75,61,117,2,1,2,76
1115,1,6,90,-3,-1,61,144,42,2,1,2,62
1115,1,7,150,-2,-1,66,174,63,2,1,2,67
1115,1,8,75,-1,-2,53,41,68,2,1,2,54
1115,1,9,120,-2,-1,66,126,57,2,1,2,67
1115,1,10,80,-3,-1,22,141,33,2,1,2,23
1115,1,11,150,-1,-2,79,87,126,2,1,2,80
1115,1,12,120,-1,-1,87,65,55,2,1,2,88
1115,1,13,40,-1,-3,26,24,48,2,1,2,27
1115,1,14,200,-1,-1,86,102,98,2,1,2,87
1115,1,15,100,-3,-1,7,174,42,2,1,2,8
1115,1,16,60,-1,-1,20,33,27,2,1,2,21
1115,1,17,75,-2,-1,61,86,32,2,1,2,62
1115,1,18,100,-1,-1,52,54,46,2,1,2,53
1115,1,19,80,-1,-3,61,46,102,2,1,2,62
1115,1,20,60,-1,-2,29,34,52,2,1,2,30
1115,1,1,150,2,1,0,150,75,1,1,1,1
1115,1,2,40,3,1,2,60,20,1,1,1,3
1115,1,3,60,1,1,13,28,32,1,1,1,14
1115,1,5,90,1,3,67,37,159,1,1,1,68
1115,1,6,75,2,1,26,76,37,1,1,1,27
1115,1,7,100,1,3,89,45,165,1,1,1,90
1115,1,8,120,1,2,96,54,132,1,1,1,97
1115,1,9,40,1,3,14,16,72,1,1,1,15
1115,1,10,60,2,1,37,60,30,1,1,1,38
1115,1,11,120,1,1,73,60,60,1,1,1,74
1115,1,12,100,3,1,13,150,50,1,1,1,14
1115,1,13,80,1,3,33,34,138,1,1,1,34
1115,1,14,100,1,1,87,50,50,1,1,1,88
1115,1,15,60,1,2,15,25,70,1,1,1,16
1115,1,16,120,2,1,95,120,60,1,1,1,96
1115,1,17,200,1,1,130,89,111,1,1,1,131
1115,1,18,90,3,1,42,135,45,1,1,1,43
1115,1,19,75,1,2,33,34,82,1,1,1,34
1115,1,20,80,3,1,58,120,40,1,1,1,59
1115,1,1,120,-2,-1,38,82,79,4,2,2,39
1115,1,2,100,-1,-3,86,74,78,4,2,2,87
1115,1,3,200,-1,-1,108,100,100,4,2,2,109
1115,1,4,90,-3,-1,13,84,62,4,2,2,14
1115,1,5,150,-1,-2,95,98,104,4,2,2,96
1115,1,6,75,-2,-1,35,58,46,4,2,2,36
1115,1,7,90,-1,-3,63,38,156,4,2,2,64
1115,1,8,120,-1,-2,93,77,86,4,2,2,94
1115,1,9,100,-3,-1,29,120,60,4,2,2,30
1115,1,12,80,-3,-1,17,96,48,4,2,2,18
1115,1,13,150,-2,-1,41,108,96,4,2,2,42
1115,1,14,60,-1,-2,53,37,46,4,2,2,54
1115,1,15,100,-1,-1,83,50,50,4,2,2,84
1115,1,16,40,-1,-3,29,23,51,4,2,2,30
1115,1,17,120,-1,-1,68,60,60,4,2,2,69
1115,1,20,60,-1,-1,44,30,30,4,2,2,45
1115,1,1,60,1,2,9,33,54,3,2,1,10
1115,1,2,75,2,1,23,70,40,3,2,1,24
1115,1,3,120,1,1,67,60,60,3,2,1,68
1115,1,4,100,1,3,78,59,123,3,2,1,79
1115,1,5,60,1,1,20,30,30,3,2,1,21
1115,1,6,120,1,2,81,70,100,3,2,1,82
1115,1,7,80,1,3,62,49,93,3,2,1,63
1115,1,8,90,3,1,27,120,50,3,2,1,28
1115,1,9,40,1,3,25,25,45,3,2,1,26
1115,1,10,100,1,1,46,50,50,3,2,1,47
1115,1,11,60,2,1,4,52,34,3,2,1,5
1115,1,12,150,1,2,103,83,134,3,2,1,104
1115,1,13,40,3,1,28,54,22,3,2,1,29
1115,1,14,120,2,1,54,102,69,3,2,1,55
1115,1,15,100,3,1,12,132,56,3,2,1,13
1115,1,16,75,1,2,47,43,64,3,2,1,48
1115,1,17,200,1,1,97,100,100,3,2,1,98
1115,1,18,90,1,3,51,54,108,3,2,1,52
1115,1,19,150,2,1,53,120,90,3,2,1,54
1115,1,20,80,3,1,12,102,46,3,2,1,13
1116,1,1,90,-1,-3,87,68,66,2,1,2,88
1116,1,2,75,-2,-1,50,150,0,2,1,2,51
1116,1,3,100,-1,-3,90,100,0,2,1,2,91
1116,1,4,60,-1,-2,37,30,60,2,1,2,38
1116,1,5,80,-3,-1,24,177,21,2,1,2,25
1116,1,6,200,-1,-1,199,155,45,2,1,2,200
1116,1,7,120,-2,-1,94,174,33,2,1,2,95
1116,1,8,100,-1,-1,95,77,23,2,1,2,96
1116,1,9,40,-1,-3,16,20,60,2,1,2,17
1116,1,10,75,-1,-2,56,53,44,2,1,2,57
1116,1,11,90,-3,-1,54,204,22,2,1,2,55
1116,1,12,150,-1,-2,145,119,62,2,1,2,146
1116,1,13,120,-1,-1,105,96,24,2,1,2,106
1116,1,14,100,-3,-1,36,231,23,2,1,2,37
1116,1,15,60,-1,-1,36,30,30,2,1,2,37
1116,1,16,80,-1,-3,80,52,84,2,1,2,81
1116,1,17,40,-3,-1,36,84,12,2,1,2,37
1116,1,18,150,-2,-1,89,220,40,2,1,2,90
1116,1,19,120,-1,-2,87,92,56,2,1,2,88
1116,1,20,60,-2,-1,20,90,15,2,1,2,21
1116,1,1,120,1,2,34,30,180,1,1,1,35
1116,1,2,60,2,1,11,30,45,1,1,1,12
1116,1,3,100,3,1,16,60,80,1,1,1,17
1116,1,4,90,1,3,2,23,201,1,1,1,3
1116,1,5,100,1,1,33,23,77,1,1,1,34
1116,1,6,40,1,3,29,20,60,1,1,1,30
1116,1,7,80,3,1,20,60,60,1,1,1,21
1116,1,8,120,1,1,0,28,92,1,1,1,1
1116,1,9,150,1,2,11,30,240,1,1,1,12
1116,1,10,200,1,1,68,30,170,1,1,1,69
1116,1,11,80,1,3,13,21,177,1,1,1,14
1116,1,12,90,3,1,2,51,73,1,1,1,3
1116,1,13,120,2,1,19,40,100,1,1,1,20
1116,1,14,75,1,2,1,21,108,1,1,1,2
1116,1,15,150,2,1,37,40,130,1,1,1,38
1116,1,16,60,1,2,1,21,78,1,1,1,2
1116,1,17,75,2,1,7,32,59,1,1,1,8
1116,1,18,40,3,1,4,30,30,1,1,1,5
1116,1,19,60,1,1,5,20,40,1,1,1,6
1116,1,20,100,1,3,0,23,231,1,1,1,1
1116,1,1,40,-3,-1,10,33,29,4,2,2,11
1116,1,2,120,-1,-2,81,81,78,4,2,2,82
1116,1,3,80,-1,-3,60,60,60,4,2,2,61
1116,1,4,60,-1,-1,37,30,30,4,2,2,38
1116,1,5,100,-1,-3,75,75,75,4,2,2,76
1116,1,6,80,-3,-1,18,57,61,4,2,2,19
1116,1,7,60,-2,-1,21,38,41,4,2,2,22
1116,1,8,75,-1,-2,52,51,48,4,2,2,53
1116,1,9,200,-1,-1,106,100,100,4,2,2,107
1116,1,10,90,-1,-3,71,67,69,4,2,2,72
1116,1,11,120,-1,-1,64,64,56,4,2,2,65
1116,1,12,150,-2,-1,52,104,98,4,2,2,53
1116,1,13,90,-3,-1,23,75,65,4,2,2,24
1116,1,14,150,-1,-2,100,99,102,4,2,2,101
1116,1,15,40,-1,-3,28,31,27,4,2,2,29
1116,1,16,100,-1,-1,45,49,51,4,2,2,46
1116,1,17,75,-2,-1,24,50,50,4,2,2,25
1116,1,18,60,-1,-2,42,40,40,4,2,2,43
1116,1,19,100,-3,-1,24,75,75,4,2,2,25
1116,1,20,120,-2,-1,45,82,79,4,2,2,46
1116,1,1,120,1,2,77,61,118,3,2,1,78
1116,1,2,80,3,1,19,123,39,3,2,1,20
1116,1,3,120,1,1,49,60,60,3,2,1,50
1116,1,4,40,1,3,29,20,60,3,2,1,30
1116,1,5,60,1,1,50,30,30,3,2,1,51
1116,1,6,40,3,1,9,60,20,3,2,1,10
1116,1,7,100,1,3,73,50,150,3,2,1,74
1116,1,8,75,1,2,49,38,74,3,2,1,50
1116,1,9,90,1,3,66,69,63,3,2,1,67
1116,1,10,120,2,1,27,82,79,3,2,1,28
1116,1,11,150,1,2,107,99,102,3,2,1,108
1116,1,12,100,3,1,23,78,74,3,2,1,24
1116,1,13,75,2,1,22,50,50,3,2,1,23
1116,1,14,90,3,1,29,69,67,3,2,1,30
1116,1,15,200,1,1,100,101,99,3,2,1,101
1116,1,16,60,2,1,35,40,40,3,2,1,36
1116,1,17,80,1,3,62,59,63,3,2,1,63
1116,1,18,60,1,2,30,40,40,3,2,1,31
1116,1,19,100,1,1,54,50,50,3,2,1,55
1116,1,20,150,2,1,46,100,100,3,2,1,47
1118,1,1,60,-2,-1,20,40,40,2,1,2,21
1118,1,3,120,-1,-2,80,80,80,2,1,2,81
1118,1,4,40,-3,-1,10,30,30,2,1,2,11
1118,1,5,100,-1,-3,75,75,75,2,1,2,76
1118,1,7,150,-2,-1,50,100,100,2,1,2,51
1118,1,8,75,-1,-2,50,50,50,2,1,2,51
1118,1,9,120,-2,-1,40,80,80,2,1,2,41
1118,1,10,80,-3,-1,20,60,60,2,1,2,21
1118,1,11,150,-1,-2,100,100,100,2,1,2,101
1118,1,12,120,-1,-1,60,60,60,2,1,2,61
1118,1,13,40,-1,-3,30,30,30,2,1,2,31
1118,1,14,200,-1,-1,101,100,100,2,1,2,102
1118,1,16,60,-1,-1,30,30,30,2,1,2,31
1118,1,17,75,-2,-1,25,50,50,2,1,2,26
1118,1,18,100,-1,-1,49,50,50,2,1,2,50
1118,1,19,80,-1,-3,60,60,60,2,1,2,61
1118,1,20,60,-1,-2,40,40,40,2,1,2,41
1118,1,1,150,2,1,52,100,100,1,1,1,53
1118,1,2,40,3,1,11,30,30,1,1,1,12
1118,1,3,60,1,1,30,26,34,1,1,1,31
1118,1,4,150,1,2,101,102,96,1,1,1,102
1118,1,5,90,1,3,68,68,66,1,1,1,69
1118,1,6,75,2,1,28,46,52,1,1,1,29
1118,1,8,120,1,2,79,79,82,1,1,1,80
1118,1,9,40,1,3,30,30,30,1,1,1,31
1118,1,10,60,2,1,20,40,40,1,1,1,21
1118,1,11,120,1,1,60,60,60,1,1,1,61
1118,1,12,100,3,1,25,150,50,1,1,1,26
1118,1,14,100,1,1,51,50,50,1,1,1,52
1118,1,15,60,1,2,44,40,40,1,1,1,45
1118,1,16,120,2,1,40,80,80,1,1,1,41
1118,1,17,200,1,1,104,100,100,1,1,1,105
1118,1,18,90,3,1,23,66,68,1,1,1,24
1118,1,19,75,1,2,50,50,50,1,1,1,51
1118,1,20,80,3,1,19,60,60,1,1,1,20
1118,1,1,80,-3,-1,20,63,59,4,2,2,21
1118,1,2,100,-1,-1,50,50,50,4,2,2,51
1118,1,3,75,-1,-2,50,50,50,4,2,2,51
1118,1,4,60,-1,-1,30,30,30,4,2,2,31
1118,1,5,150,-1,-2,100,100,100,4,2,2,101
1118,1,6,75,-2,-1,25,50,50,4,2,2,26
1118,1,7,200,-1,-1,101,100,100,4,2,2,102
1118,1,8,100,-3,-1,25,75,75,4,2,2,26
1118,1,9,80,-1,-3,60,60,60,4,2,2,61
1118,1,10,40,-3,-1,10,30,30,4,2,2,11
1118,1,11,150,-2,-1,50,100,100,4,2,2,51
1118,1,12,100,-1,-3,75,75,75,4,2,2,76
1118,1,13,60,-2,-1,19,40,40,4,2,2,20
1118,1,14,120,-1,-2,80,80,80,4,2,2,81
1118,1,15,90,-3,-1,22,66,68,4,2,2,23
1118,1,16,120,-2,-1,40,80,80,4,2,2,41
1118,1,17,60,-1,-2,40,40,40,4,2,2,41
1118,1,18,90,-1,-3,68,67,69,4,2,2,69
1118,1,19,120,-1,-1,60,60,60,4,2,2,61
1118,1,20,40,-1,-3,30,30,30,4,2,2,31
1118,1,1,80,1,3,60,60,60,3,2,1,61
1118,1,2,75,1,2,50,50,50,3,2,1,51
1118,1,3,60,2,1,22,40,40,3,2,1,23
